year_added,type,country,total_count
2016,Movie, Spain,3
2016,Movie, United Kingdom,7
2016,Movie, United States,17
2016,Movie, Zimbabwe,1
2016,Movie,Argentina,3
2016,Movie,Australia,4
2016,Movie,Austria,1
2016,Movie,Belgium,1
2016,Movie,Brazil,2
2016,Movie,Canada,10
2016,Movie,Chile,1
2016,Movie,China,3
2016,Movie,Croatia,1
2016,Movie,Denmark,5
2016,Movie,France,12
2016,Movie,Germany,4
2016,Movie,Hong Kong,3
2016,Movie,India,13
2016,Movie,Ireland,1
2016,Movie,Israel,2
2016,Movie,Italy,2
2016,Movie,Japan,6
2016,Movie,Mexico,9
2016,Movie,Netherlands,4
2016,Movie,Nigeria,1
2016,Movie,Norway,1
2016,Movie,Pakistan,1
2016,Movie,Peru,2
2016,Movie,Spain,11
2016,Movie,United Arab Emirates,1
2016,Movie,United Kingdom,25
2016,Movie,United States,135
2016,TV Show, Azerbaijan,1
2016,TV Show, Canada,4
2016,TV Show, China,1
2016,TV Show, Cuba,1
2016,TV Show, France,9
2016,TV Show, Germany,3
2016,TV Show, Greece,2
2016,TV Show, Japan,12
2016,TV Show, Netherlands,2
2016,TV Show, New Zealand,3
2016,TV Show, Russia,1
2016,TV Show, South Korea,1
2016,TV Show, Spain,2
2016,TV Show, United Kingdom,2
2016,TV Show, United States,5
2016,TV Show,Australia,4
2016,TV Show,Brazil,1
2016,TV Show,Canada,14
2016,TV Show,China,3
2016,TV Show,Colombia,2
2016,TV Show,Denmark,1
2016,TV Show,France,5
2016,TV Show,Germany,1
2016,TV Show,Iceland,1
2016,TV Show,Ireland,2
2016,TV Show,Italy,1
2016,TV Show,Japan,14
2016,TV Show,Norway,2
2016,TV Show,Pakistan,3
2016,TV Show,Poland,1
2016,TV Show,Russia,1
2016,TV Show,South Korea,8
2016,TV Show,Spain,2
2016,TV Show,Sweden,1
2016,TV Show,Switzerland,1
2016,TV Show,Taiwan,29
2016,TV Show,Turkey,4
2016,TV Show,United Kingdom,20
2016,TV Show,United States,71
2017,Movie, Afghanistan,1
2017,Movie, Argentina,6
2017,Movie, Armenia,1
2017,Movie, Australia,5
2017,Movie, Austria,1
2017,Movie, Belgium,18
2017,Movie, Botswana,1
2017,Movie, Brazil,2
2017,Movie, Bulgaria,1
2017,Movie, Canada,14
2017,Movie, China,5
2017,Movie, Colombia,1
2017,Movie, Croatia,1
2017,Movie, Czech Republic,2
2017,Movie, Denmark,3
2017,Movie, France,22
2017,Movie, Germany,14
2017,Movie, Greece,1
2017,Movie, Hong Kong,6
2017,Movie, Iceland,1
2017,Movie, India,10
2017,Movie, Iran,1
2017,Movie, Ireland,2
2017,Movie, Israel,2
2017,Movie, Italy,5
2017,Movie, Japan,5
2017,Movie, Jordan,3
2017,Movie, Latvia,1
2017,Movie, Lebanon,1
2017,Movie, Malaysia,1
2017,Movie, Mexico,4
2017,Movie, Mongolia,1
